id,title,author,age,annotation,cover_image
gore_ot_uma,Горе от ума,А.С.Грибоедов,12+,"Концепты: любовь, любовь_и_верность, любовь_и_страсть, поиск_счастья, первая_любовь, любовь_и_долг, одиночество, несчастная_любовь, ревность, дружба, зависть, любовь_и_прощение",/covers/e47cba7d41d041a692eba63a66d1469a.jpg
gospoda_golovlevy,Господа Головлевы,М.Е.Салтыков-Щедрин,12+,"Концепты: жертвы_войны, идеология, чувство_собственного_достоинства, бунт_против_судьбы, характер, тирания, саморазрушение, цинизм, самообман, антиутопия, жизнь_и_смерть, самолюбие",/covers/2ce9efc7d7904ce399955527b7a6ee76.jpg
groza,Гроза,А.Н.Островский,12+,"Концепты: гордыня, лицемерие_личности, чувство_собственного_достоинства, недоверие, роль_личности_в_истории, миф, фольклор, несчастная_любовь, романтизм, верность, ревность, традиции",/covers/bbb35bc4e0ab49a4ad697e13ff7da4aa.jpg
dar,Дар,В.В.Набоков,12+,"Концепты: народная_жизнь, утраты_на_войне, идеология, смысл_жизни, легенда, настоящее, слово, миф, язык, бунт_против_судьбы, жизнь_и_смерть, фольклор",/covers/66d793cb088c45b08e20890e6b71baeb.webp
dvoryanskoe_gnezdo,Дворянское гнездо,И.С.Тургенев,12+,"Концепты: покаяние, утраты_на_войне, политический_конфликт, цинизм, идеология, вера_и_сомнение, религия, послевоенная_травма, чувство_собственного_достоинства, эмпатия, предательство, верность",/covers/0d60e5d7df9b437385bb3b52a29b69f7.webp
detstvo,Детство,Л.Н.Толстой,12+,"Концепты: несчастье, отчаяние, детство, литература, характер, несчастная_любовь, психологическая_изоляция, психоз, индивидуализм, эмпатия, психологическое_давление, самоутверждение",/covers/9e557d2558d64442bd1a6814a9856094.jpg
doctor_zhivago,Доктор Живаго,Б.Л.Пастернак,12+,"Концепты: отчаяние, героизм, идеология, утраты_на_войне, страдание, жестокость_войны, жертвы_войны, война_и_общество, война, прошлое, революция, историческая_память",/covers/8d8b65e55f5a464da11768f4588ec51f.webp
evgeniy_onegin,Евгений Онегин,А.С.Пушкин,12+,"Концепты: культурное_наследие, искусство, культурная_идентичность, идеология, идентичность, народная_жизнь, характер, фольклор, гордыня, легенда, город, революционные_потрясения",/covers/7fb7a6831cff4e048096607d5749fd4b.jpg
zapiski_ohotnika,Записки охотника,И.С.Тургенев,12+,"Концепты: деревня, миф, смысл_жизни, характер, культура, традиции, личность_и_общество, культурное_наследие, бунт_против_судьбы, легенда, культурная_идентичность, роль_личности_в_истории",/covers/d13bc2374fb0445aab73b728d667e1ca.jpg
zvuk_i_yarost,Звук и ярость,Уильям Фолкнер,18+,"Концепты: миф, легенда, тирания, фольклор, эпоха, характер, прошлое, бунт_против_судьбы, консерватизм, культурное_наследие, социальная_несправедливость, роль_личности_в_истории",/covers/70984c2746b245bca74683cf25953154.jpg
idiot,Идиот,Ф.М.Достоевский,12+,"Концепты: тирания, жертва, достоинство, чувство_собственного_достоинства, равнодушие, героизм, трусость, смирение_судьбе, самолюбие, наивность, самообман, бог",/covers/633ee9bf305b462db0e00f9ab5f545a5.jpg
iliada,Илиада,Гомер,16+,"Концепты: война_и_личность, война_и_общество, несчастье, бунт_против_судьбы, разрушение_идеалов, тирания, жестокость_войны, фольклор, аллегория, гражданская_война, утраты_на_войне, страдание",/covers/c4440a1333aa4e58910439e51f4d9b45.jpg
istoriya_odnogo_goroda,История одного города,М.Е.Салтыков-Щедрин,12+,"Концепты: трусость, ненависть, предательство, жертва, лицемерие, характер, литература, репрессии, революционные_потрясения, народная_судьба, стыд, роль_личности_в_истории",/covers/b0aa4a0940ce4f158850dc98acb7d578.jpg
kapital,Капитал,Карл Маркс,12+,"Концепты: общество, формализм, социальная_несправедливость, политический_конфликт, бедность, идеология, альтруизм, ценности, закон_и_человечность, идеализм, идеал, коллективизм",/covers/f9cc80631ab4408aadb87210212f0f59.webp
kapitanskaya_dochka,Капитанская дочка,А.С.Пушкин,12+,"Концепты: гордыня, бунт_против_судьбы, роль_личности_в_истории, тирания, утраты_на_войне, миф, покорность, фольклор, судьба, легенда, характер, послевоенная_травма",/covers/b97f333bbb8d43cd91ae78a0eb4c8284.webp
